Country_Code,Name,Pop_2010
156,China,1340969
356,India,1230985
840,United States of America,309876
360,Indonesia,241613
76,Brazil,198614
586,Pakistan,170044
566,Nigeria,159425
50,Bangladesh,151617
643,Russian Federation,143158
392,Japan,127320
484,Mexico,118618
608,Philippines,93039
704,Viet Nam,88358
231,Ethiopia,87562
818,Egypt,82041
276,Germany,80435
364,Iran (Islamic Republic of),74253
792,Turkey,72310
764,Thailand,66692
180,Democratic Republic of the Congo,65939
250,France,62961
826,United Kingdom,62717
380,Italy,59588
104,Myanmar,51733
710,South Africa,51622
410,Republic of Korea,49090
724,Spain,46601
170,Colombia,45918
834,United Republic of Tanzania,45649
804,Ukraine,45647
32,Argentina,41223
404,Kenya,40328
616,Poland,38575
729,Sudan,36115
12,Algeria,36036
124,Canada,34126
800,Uganda,33149
504,Morocco,32108
368,Iraq,30868
604,Peru,29374
862,Venezuela (Bolivarian Republic of),28996
458,Malaysia,28120
682,Saudi Arabia,28091
4,Afghanistan,27962
860,Uzbekistan,27740
524,Nepal,26876
408,Dem. People's Republic of Korea,24501
508,Mozambique,24321
288,Ghana,24318
887,Yemen,23592
158,Other non-specified areas,23200
36,Australia,22163
24,Angola,21220
450,Madagascar,21080
760,Syrian Arab Republic,20721
120,Cameroon,20591
642,Romania,20299
144,Sri Lanka,20201
384,Côte d'Ivoire,20132
152,Chile,17015
528,Netherlands,16632
398,Kazakhstan,16311
562,Niger,16292
854,Burkina Faso,15632
466,Mali,15167
218,Ecuador,14935
454,Malawi,14770
320,Guatemala,14732
116,Cambodia,14364
716,Zimbabwe,13974
894,Zambia,13917
686,Senegal,12957
148,Chad,11896
192,Cuba,11308
300,Greece,11178
324,Guinea,11012
56,Belgium,10930
788,Tunisia,10639
620,Portugal,10585
203,Czech Republic,10507
646,Rwanda,10294
728,South Sudan,10056
348,Hungary,10015
332,Haiti,10000
68,Bolivia (Plurinational State of),9918
214,Dominican Republic,9898
706,Somalia,9582
204,Benin,9510
112,Belarus,9492
108,Burundi,9461
752,Sweden,9382
31,Azerbaijan,9100
688,Serbia,9059
40,Austria,8392
784,United Arab Emirates,8329
756,Switzerland,7831
762,Tajikistan,7582
340,Honduras,7504
376,Israel,7420
100,Bulgaria,7407
344,"China, Hong Kong SAR",6994
598,Papua New Guinea,6848
400,Jordan,6518
768,Togo,6391
434,Libya,6266
418,Lao People's Democratic Republic,6261
600,Paraguay,6210
222,El Salvador,6038
694,Sierra Leone,5776
558,Nicaragua,5738
208,Denmark,5551
417,Kyrgyzstan,5465
703,Slovakia,5407
246,Finland,5368
702,Singapore,5079
795,Turkmenistan,5042
578,Norway,4891
232,Eritrea,4690
372,Ireland,4617
188,Costa Rica,4545
140,Central African Republic,4445
554,New Zealand,4369
422,Lebanon,4337
191,Croatia,4316
268,Georgia,4250
498,Republic of Moldova,4084
275,State of Palestine,4069
178,Congo,4066
430,Liberia,3958
70,Bosnia and Herzegovina,3835
630,Puerto Rico,3710
591,Panama,3621
478,Mauritania,3591
858,Uruguay,3374
440,Lithuania,3123
414,Kuwait,3059
51,Armenia,2963
512,Oman,2944
8,Albania,2902
388,Jamaica,2741
496,Mongolia,2713
516,Namibia,2194
428,Latvia,2091
807,TFYR Macedonia,2062
705,Slovenia,2052
72,Botswana,2048
426,Lesotho,2011
634,Qatar,1766
270,Gambia,1693
624,Guinea-Bissau,1634
266,Gabon,1542
233,Estonia,1332
780,Trinidad and Tobago,1328
48,Bahrain,1261
480,Mauritius,1248
748,Swaziland,1193
196,Cyprus,1104
626,Timor-Leste,1057
242,Fiji,860
262,Djibouti,831
638,Réunion,831
328,Guyana,753
226,Equatorial Guinea,729
64,Bhutan,720
174,Comoros,699
499,Montenegro,622
446,"China, Macao SAR",535
90,Solomon Islands,526
740,Suriname,518
732,Western Sahara,512
442,Luxembourg,508
132,Cabo Verde,490
312,Guadeloupe,457
470,Malta,412
474,Martinique,395
96,Brunei Darussalam,393
44,Bahamas,361
462,Maldives,333
84,Belize,322
352,Iceland,318
52,Barbados,280
258,French Polynesia,268
540,New Caledonia,246
548,Vanuatu,236
254,French Guiana,234
175,Mayotte,209
882,Samoa,186
662,Saint Lucia,177
678,Sao Tome and Principe,171
830,Channel Islands,160
316,Guam,159
531,Curaçao,148
670,Saint Vincent and the Grenadines,109
850,United States Virgin Islands,106
308,Grenada,105
776,Tonga,104
583,Micronesia (Fed. States of),104
296,Kiribati,103
533,Aruba,102
690,Seychelles,93
28,Antigua and Barbuda,87
20,Andorra,84
833,Isle of Man,84
212,Dominica,71
60,Bermuda,64
304,Greenland,57
16,American Samoa,56
136,Cayman Islands,56
580,Northern Mariana Islands,54
584,Marshall Islands,52
659,Saint Kitts and Nevis,52
234,Faeroe Islands,49
492,Monaco,37
438,Liechtenstein,36
534,Sint Maarten (Dutch part),33
796,Turks and Caicos Islands,31
292,Gibraltar,31
674,San Marino,31
92,British Virgin Islands,27
535,Caribbean Netherlands,21
585,Palau,20
184,Cook Islands,20
660,Anguilla,14
876,Wallis and Futuna Islands,14
520,Nauru,10
798,Tuvalu,10
666,Saint Pierre and Miquelon,6
500,Montserrat,5
654,Saint Helena,4
238,Falkland Islands (Malvinas),3
570,Niue,2
772,Tokelau,1
336,Holy See,1